transaction_id,customer_id,amount,currency,decline_code,failure_reason,past_success_count,past_failure_count,account_age_days,typical_payment_day,typical_payment_hour,avg_amount,is_recoverable,recovery_window_hours,failure_timestamp,dataset_split
TXN-25E0D1E76E12,CUST-0044,121.55,EUR,expired_card,Card expiry passed,5,5,408,28,17,45.16,0,,2024-10-04 12:07:00,train
TXN-A41A4A403091,CUST-0250,70.3,GBP,hard_decline,Do not honor,26,4,1094,7,7,30.71,0,,2024-07-21 20:49:00,train
TXN-65443B68B6B2,CUST-0138,38.68,AUD,auth_required,Additional verification required by issuing bank,53,6,895,22,18,75.14,1,60.0,2024-03-12 11:02:00,train
TXN-19ECA4EC292A,CUST-0341,44.27,USD,auth_required,Strong customer authentication needed,4,4,1935,23,9,50.99,0,,2024-09-07 11:19:00,test
TXN-5C7ADE78C8F4,CUST-0113,26.13,USD,expired_card,Card has expired,46,8,1666,13,18,58.56,1,138.0,2024-11-23 06:14:00,train
TXN-B63E5BDC7406,CUST-0416,84.04,EUR,insufficient_funds,Insufficient funds in account,42,2,946,22,14,37.21,1,105.0,2024-06-16 00:08:00,train
TXN-AE899F4CDB06,CUST-0334,51.01,EUR,expired_card,Card expiry passed,33,5,1133,3,14,87.88,1,114.0,2024-08-08 00:20:00,train
TXN-4B4080AF4864,CUST-0138,26.93,USD,fraud_flag,Security flag triggered by issuer,16,9,1712,9,12,42.25,0,,2024-08-29 12:47:00,test
TXN-9416540D753D,CUST-0498,96.1,USD,expired_card,Declined — expired card on file,1,1,673,3,18,73.13,0,,2024-09-20 17:09:00,train
TXN-B05A42D090F3,CUST-0469,113.56,USD,temp_error,"Temporary processing error, please retry",18,6,482,18,15,22.91,1,9.0,2024-05-12 08:07:00,train
TXN-605AFDE6C246,CUST-0454,188.55,EUR,temp_error,Network error during authorization,15,7,536,23,13,48.27,1,22.0,2024-01-29 02:26:00,train
TXN-2E6ED627331C,CUST-0352,80.66,USD,expired_card,Card has expired,51,0,930,22,13,62.78,0,,2024-09-19 07:37:00,test
TXN-C7D71B97AEFF,CUST-0047,76.97,USD,insufficient_funds,Payment failed: low account balance,29,1,364,10,16,131.37,1,98.0,2024-02-22 04:35:00,train
TXN-B57AA5635C2B,CUST-0462,110.84,USD,temp_error,Network error during authorization,9,9,698,12,13,65.9,1,12.0,2024-01-24 01:16:00,train
TXN-57D8CF2596B0,CUST-0220,12.11,USD,temp_error,Processing system temporarily unavailable,19,5,1907,15,19,50.18,1,14.0,2024-06-09 08:49:00,train
TXN-622860A8FF89,CUST-0070,45.19,USD,temp_error,Gateway timeout,14,6,223,21,17,59.04,1,22.0,2024-04-27 02:36:00,test
TXN-F399D07F2DC3,CUST-0118,366.05,GBP,temp_error,"Temporary processing error, please retry",48,9,923,9,9,68.78,1,24.0,2024-12-13 14:30:00,train
TXN-84EAF5C8375A,CUST-0468,25.02,AUD,insufficient_funds,Not enough balance,9,8,96,3,17,60.1,1,108.0,2024-03-22 21:06:00,test
